major,smartphone age,number countries,Avatar: The Way of Water,Avengers: Endgame,Back to the Future,Barbie,Booksmart,Deadpool and Wolverine,Dune,Encanto,Everything Everywhere All at Once,Frozen,Get Out,Inside Out 2,Interstellar,Knives Out,Lady Bird,My Neighbor Totoro,Spider-Man: Across the Spiderverse,Star Wars: The Rise of Skywalker,The Matrix,Titanic
ME,12,4.0,,4,,,,,,,4,4,,,,,,5,5,,5,
BME,12,8.0,,5,4,4,,5,4,5,,5,,5,5,5,,,5,2,4,3
EE,12,3.0,,2,4,,,,,,4,3,5,,5,,,4,,4,4,4
ME,12,7.0,4,4,,4,,,,,,,,,,,,,,,,
ME,11,7.0,,5,,5,,4,,,,4,,4,4,,,5,,3,,
ME,10,5.0,4,3,5,,,,,,,4,5,,5,4,2,,,,4,4
BME,12,10.0,,4,,3,,,,4,4,5,,4,5,5,,,5,,,
EE,15,12.0,,,3,4,4,,4,,4,3,5,2,3,4,5,5,1,,4,
EE,13,3.0,,1,3,,,,,,,,,,,,,,,,,
EE,12,4.0,4,5,,,4,,,,5,3,5,,5,5,5,5,5,,5,5
ME,13,10.0,4,4,4,,,3,5,,4,3,5,,5,5,,,5,1,4,3
EE,14,5.0,,4,,,,,,,,4,,4,,,,5,,,,
EE,15,8.0,,4,,5,,,,,,,,,,,,,,,,
ME,13,6.0,3,4,,3,,4,,,4,4,4,3,4,3,,4,5,,4,4
ME,14,4.0,5,3,4,5,3,3,5,3,3,5,3,4,5,3,3,3,5,3,3,3
ME,13,5.0,5,5,1,,,,,,,,,,,,,,,,,
ME,12,3.0,5,4,4,3,,,,,,,,,,,,,,,,
ME,11,5.0,5,,,5,,,,,,,,,,,,,,,,
ME,11,10.0,5,5,5,5,,,5,,5,5,,,5,,,,5,5,5,5
EE,14,6.0,,5,,,,4,,,,3,3,,5,,,,5,,,4
EE,15,8.0,3,4,4,4,,3,4,3,5,5,5,4,5,5,,4,5,3,3,4
EE,10,3.0,,,4,5,,,,,,5,,,5,4,,,,4,4,4
ME,10,2.0,5,,3,5,,4,1,5,3,5,,5,3,3,,,3,,4,
ME,10,19.0,2,,4,3,,,3,,5,3,,,5,,5,3,,,4,3
ME,10,4.0,3,5,5,,,5,3,4,,5,,3,5,,,,5,1,5,5
CE,12,3.0,,2,4,,,,,,,4,,4,,,,4,,,3,
BME,12,20.0,,4,,3,,,,,,5,,5,5,,,,5,,4,5
ME,13,30.0,3,4,5,4,4,4,5,,4,4,,3,5,5,,,4,3,4,4
